UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
5432,1,1626,01,2000,63,2800.00000000
5432,1,1626,01,2000,66,3200.00000000
5432,1,1626,01,2000,72,3200.00000000
5432,1,1626,03,2000,6,3750.00000000
5432,1,2206,00,4000,46,2450.00000000
5432,1,2206,00,4000,52,2450.00000000
5432,1,2206,00,4000,65,1300.00000000
5432,1,2206,00,4000,78,2450.00000000
5432,1,2206,00,4000,94,2750.00000000
5432,1,2404,00,4000,6,9000.00000000
5432,1,2404,00,4000,8,7900.00000000
5432,1,2406,00,4000,19,2150.00000000
5432,1,2406,00,4000,22,6750.00000000
5432,1,2406,00,4000,51,2150.00000000
5432,1,2406,00,4000,186,1300.00000000
5432,1,2606,00,4000,12,1000.00000000
5432,1,2606,00,4000,15,3150.00000000
5432,1,2606,00,4000,76,6750.00000000
5432,1,2606,00,4000,106,1850.00000000
5432,1,2606,00,4000,134,1000.00000000
5432,1,2606,00,4000,149,2150.00000000
5432,1,2606,00,4000,167,1850.00000000
5432,1,2606,00,4000,175,2150.00000000
5432,1,2606,00,4000,188,2650.00000000
5432,1,2606,00,4000,227,2450.00000000
5433,1,0000,006,5000,27,130.00000000
5433,1,0000,006,5000,47,130.00000000
5433,1,0000,006,5000,143,130.00000000
5433,1,0000,006,5000,146,130.00000000
5433,1,0000,010,5000,46,130.00000000
5433,1,0000,010,5000,98,170.00000000
5433,1,0000,020,5000,112,260.00000000
5433,1,0000,034,5000,47,170.00000000
5433,1,0000,037,5000,33,190.00000000
5433,1,0000,041,5000,33,230.00000000
5433,1,0000,041,5000,83,390.00000000
5433,1,0000,042,5000,2,230.00000000
5433,1,0000,050,5000,59,330.00000000
5433,1,0000,050,5000,82,330.00000000
5433,1,0000,052,5000,26,330.00000000
5433,1,0000,063,5000,89,330.00000000
5433,1,0000,064,5000,103,330.00000000
5433,1,0000,067,5000,25,330.00000000
5433,1,0000,077,5000,2,250.00000000
5433,1,0000,078,5000,37,330.00000000
5433,1,0000,078,5000,115,500.00000000
5433,1,0000,079,5000,109,1750.00000000
5433,1,0000,081,5000,36,330.00000000
5433,1,0000,081,5000,91,330.00000000
5433,1,0000,082,5000,5,380.00000000
5433,1,0000,092,5000,44,500.00000000
5433,1,0000,092,5000,134,13000.00000000
5433,1,0000,092,5000,138,9500.00000000
5433,1,0000,092,5000,272,2500.00000000
5433,1,0000,093,5000,69,330.00000000
5433,1,0000,106,5000,74,400.00000000
5433,1,0000,106,5000,124,650.00000000
5433,1,0000,106,5000,142,260.00000000
5433,1,0000,106,5000,193,8000.00000000
5433,1,0000,109,5000,46,330.00000000
5433,1,0000,109,5000,85,380.00000000
5433,1,0000,120,5000,22,200.00000000
5433,1,0000,120,5000,54,200.00000000
5433,1,0000,123,5000,8,1350.00000000
5433,1,0000,123,5000,110,1000.00000000
5433,1,0000,123,5000,121,2500.00000000
5432,1,0000,009,5000,2,2800.00000000
5432,1,0000,009,5000,20,1150.00000000
5432,1,0000,018,5000,33,5250.00000000
5432,1,0000,065,5000,1,7500.00000000
5432,1,0000,154,5000,4,530.00000000
5432,1,0624,00,4000,4,4700.00000000
5432,1,0624,00,4000,7,2450.00000000
5432,1,0624,04,2000,18,6000.00000000
5432,1,0624,04,2000,30,2800.00000000
