UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4545,1,0000,095,5000,3,100.00000000
4545,1,0000,108,5000,18,100.00000000
4545,1,0000,108,5000,195,100.00000000
4545,1,0000,109,5000,1,420.00000000
4545,1,0000,109,5000,61,100.00000000
4545,1,0000,109,5000,171,1500.00000000
4545,1,0000,109,5000,209,100.00000000
4545,1,0000,121,5000,6,330.00000000
4545,1,0000,122,5000,11,290.00000000
4545,1,0000,135,5000,3,100.00000000
4545,1,8220,00,4000,19,200.00000000
4545,1,8220,00,4000,22,200.00000000
4545,1,8420,00,4000,23,150.00000000
4545,1,8422,00,4000,8,130.00000000
4545,1,8422,00,4000,17,150.00000000
4545,1,8422,00,4000,43,100.00000000
4545,1,8422,00,4000,46,100.00000000
4545,1,8422,00,4000,72,100.00000000
4545,1,8422,00,4000,164,250.00000000
4545,1,8422,00,4000,188,150.00000000
4545,1,8422,00,4000,200,100.00000000
4545,1,8422,00,4000,223,100.00000000
4545,1,8422,11,1000,1,250.00000000
4545,1,8422,11,1000,8,100.00000000
4545,1,8422,11,1000,30,250.00000000
4545,1,8422,12,1000,11,250.00000000
4545,1,8422,12,1000,43,250.00000000
4545,1,8422,12,1000,75,250.00000000
4545,1,8424,14,1000,36,200.00000000
4545,1,8424,15,1000,4,200.00000000
4545,1,8424,15,1000,7,200.00000000
4545,1,8424,15,1000,33,200.00000000
4545,1,8424,15,1000,36,200.00000000
4545,1,8424,15,1000,39,200.00000000
4545,1,8424,15,1000,42,200.00000000
4545,1,8428,16,1000,41,100.00000000
4545,1,8428,16,1000,48,380.00000000
4545,1,8430,00,4000,20,100.00000000
4545,1,8432,00,4000,8,380.00000000
4545,1,8432,00,4000,43,100.00000000
4545,1,8432,00,4000,49,100.00000000
4545,1,8432,00,4000,78,100.00000000
4545,1,8432,00,4000,81,100.00000000
4545,1,8432,07,1000,1,430.00000000
4545,1,8432,07,1000,2,380.00000000
4545,1,8432,07,1000,27,430.00000000
4545,1,8432,07,1000,34,380.00000000
4545,1,8432,07,1000,56,430.00000000
4545,1,8432,07,1000,62,430.00000000
4545,1,8432,11,1000,22,430.00000000
4545,1,8432,11,1000,25,430.00000000
4545,1,8432,11,1000,28,430.00000000
4545,1,8432,12,1000,6,430.00000000
4545,1,8442,01,2000,8,100.00000000
4545,1,8442,03,2000,4,100.00000000
4544,1,0000,009,5000,10,100.00000000
4544,1,0000,036,5000,2,100.00000000
4544,1,0000,036,5000,28,100.00000000
4544,1,0000,036,5000,31,100.00000000
4544,1,0000,036,5000,208,100.00000000
4544,1,0000,049,5000,30,100.00000000
