UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4627,1,0000,111,5000,71,200.00000000
4627,1,0000,111,5000,78,330.00000000
4627,1,0000,111,5000,116,130.00000000
4627,1,0000,111,5000,201,170.00000000
4627,1,0000,111,5000,232,130.00000000
4627,1,0000,111,5000,235,130.00000000
4627,1,0000,111,5000,261,130.00000000
4627,1,0000,111,5000,264,130.00000000
4627,1,0000,111,5000,444,130.00000000
4627,1,0000,122,5000,37,350.00000000
4627,1,3434,02,2000,2,240.00000000
4627,1,3434,04,1000,6,170.00000000
4627,1,3434,04,1000,9,170.00000000
4627,1,3434,04,1000,38,170.00000000
4627,1,3434,16,1000,28,170.00000000
4627,1,3434,16,1000,54,170.00000000
4627,1,3434,16,1000,57,170.00000000
4627,1,3436,04,2000,7,380.00000000
4627,1,3438,00,4000,4,130.00000000
4627,1,3630,01,2000,5,130.00000000
4627,1,0000,034,5000,16,170.00000000
4627,1,0000,034,5000,24,130.00000000
4627,1,0000,034,5000,51,170.00000000
4627,1,0000,034,5000,53,130.00000000
4627,1,0000,037,5000,7,400.00000000
4627,1,0000,047,5000,8,130.00000000
4627,1,0000,048,5000,53,130.00000000
4627,1,0000,048,5000,73,130.00000000
4627,1,0000,049,5000,3,400.00000000
4627,1,0000,049,5000,29,750.00000000
4627,1,0000,049,5000,32,130.00000000
4627,1,0000,050,5000,4,750.00000000
4627,1,0000,050,5000,26,130.00000000
4627,1,0000,050,5000,29,130.00000000
4627,1,0000,060,5000,93,170.00000000
4627,1,0000,061,5000,29,200.00000000
4627,1,0000,061,5000,48,85.00000000
4627,1,0000,061,5000,67,130.00000000
4627,1,0000,061,5000,129,170.00000000
4627,1,0000,062,5000,5,170.00000000
4627,1,0000,062,5000,31,170.00000000
4627,1,0000,072,5000,24,130.00000000
4627,1,0000,072,5000,30,130.00000000
4627,1,0000,073,5000,26,370.00000000
4627,1,0000,073,5000,28,660.00000000
4627,1,0000,073,5000,37,130.00000000
4627,1,0000,073,5000,67,170.00000000
4627,1,0000,073,5000,69,130.00000000
4627,1,0000,073,5000,101,130.00000000
4627,1,0000,073,5000,108,300.00000000
4627,1,0000,073,5000,124,130.00000000
4627,1,0000,073,5000,153,130.00000000
4627,1,0000,073,5000,159,130.00000000
4627,1,0000,073,5000,194,310.00000000
4627,1,0000,073,5000,220,130.00000000
4627,1,0000,085,5000,1,660.00000000
4627,1,0000,085,5000,29,130.00000000
4627,1,0000,085,5000,35,130.00000000
4627,1,0000,085,5000,84,860.00000000
4627,1,0000,085,5000,121,1150.00000000
4627,1,0000,085,5000,127,1150.00000000
4627,1,0000,085,5000,145,130.00000000
4627,1,0000,085,5000,161,750.00000000
4627,1,0000,085,5000,180,130.00000000
4627,1,0000,086,5000,11,170.00000000
4627,1,0000,086,5000,37,170.00000000
4627,1,0000,086,5000,110,750.00000000
4627,1,0000,086,5000,113,330.00000000
4627,1,0000,086,5000,119,330.00000000
4627,1,0000,086,5000,129,130.00000000
4627,1,0000,086,5000,162,750.00000000
4627,1,0000,086,5000,183,380.00000000
4627,1,0000,097,5000,2,130.00000000
4627,1,0000,097,5000,94,380.00000000
4627,1,0000,097,5000,126,380.00000000
4627,1,0000,097,5000,127,130.00000000
4627,1,0000,098,5000,103,1150.00000000
4627,1,0000,098,5000,119,720.00000000
4627,1,0000,098,5000,126,1150.00000000
4627,1,0000,098,5000,285,130.00000000
4627,1,0000,098,5000,292,170.00000000
4627,1,0000,098,5000,306,1150.00000000
4627,1,0000,098,5000,309,1150.00000000
4627,1,0000,098,5000,312,1150.00000000
4627,1,0000,098,5000,321,170.00000000
4627,1,0000,098,5000,413,130.00000000
4627,1,0000,098,5000,445,130.00000000
4627,1,0000,098,5000,463,1150.00000000
4627,1,0000,098,5000,533,170.00000000
4627,1,0000,098,5000,593,130.00000000
4627,1,0000,098,5000,596,130.00000000
4627,1,0000,098,5000,614,170.00000000
4627,1,0000,098,5000,651,130.00000000
4627,1,0000,098,5000,654,130.00000000
4627,1,0000,098,5000,680,130.00000000
4627,1,0000,098,5000,683,130.00000000
4627,1,0000,111,5000,97,130.00000000
4627,1,0000,111,5000,181,190.00000000
4627,1,0000,111,5000,217,170.00000000
4627,1,0000,111,5000,222,130.00000000
4627,1,0000,111,5000,339,170.00000000
4627,1,0000,111,5000,349,250.00000000
4627,1,0000,111,5000,370,130.00000000
4627,1,0000,122,5000,17,850.00000000
4627,1,0000,122,5000,34,130.00000000
4627,1,3432,04,2000,3,1150.00000000
4627,1,3434,04,1000,19,170.00000000
4627,1,3434,04,1000,22,170.00000000
4627,1,3434,04,2000,12,170.00000000
4627,1,3434,16,1000,44,170.00000000
4627,1,3436,04,2000,23,380.00000000
4627,1,3438,00,4000,17,130.00000000
4627,1,0000,008,5000,6,130.00000000
