UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4935,1,0078,00,4000,112,550.00000000
4935,1,0078,00,4000,133,1050.00000000
4935,1,0078,00,4000,140,1200.00000000
4935,1,0078,00,4000,143,1200.00000000
4935,1,0078,00,4000,174,800.00000000
4935,1,0078,00,4000,187,880.00000000
4935,1,0078,00,4000,202,550.00000000
4935,1,0078,00,4000,208,720.00000000
4935,1,0078,00,4000,217,720.00000000
4935,1,0078,00,4000,228,550.00000000
4935,1,0078,00,4000,231,550.00000000
4935,1,0078,00,4000,292,550.00000000
4935,1,0078,00,4000,293,1050.00000000
4935,1,0078,00,4000,299,800.00000000
4935,1,0078,00,4000,319,800.00000000
4935,1,0078,00,4000,379,550.00000000
4935,1,0078,00,4000,417,550.00000000
4935,1,0078,00,4000,478,750.00000000
4935,1,0078,00,4000,499,1050.00000000
4935,1,0078,00,4000,536,550.00000000
4935,1,0078,00,4000,652,550.00000000
4935,1,0078,00,4000,709,550.00000000
4935,1,0078,00,4000,743,800.00000000
4935,1,0078,00,4000,808,1200.00000000
4935,1,0078,00,4000,834,1200.00000000
4935,1,0078,00,4000,837,1200.00000000
4935,1,0078,00,4000,864,750.00000000
4935,1,0078,00,4000,927,550.00000000
4935,1,0078,00,4000,950,550.00000000
4935,1,0078,00,4000,956,1200.00000000
4935,1,0078,00,4000,977,900.00000000
4935,1,0078,00,4000,988,550.00000000
4935,1,0078,00,4000,1043,550.00000000
4935,1,0078,00,4000,1052,1200.00000000
4935,1,0078,00,4000,1107,550.00000000
4935,1,0078,03,2000,2,1050.00000000
4935,1,0078,03,2000,10,550.00000000
4935,1,0078,03,2000,13,550.00000000
4935,1,0068,00,4000,81,410.00000000
4935,1,0070,00,4000,12,150.00000000
4935,1,0070,00,4000,48,300.00000000
4935,1,0070,00,4000,79,150.00000000
4935,1,0070,00,4000,105,150.00000000
4935,1,0070,00,4000,111,150.00000000
4935,1,0072,00,4000,7,410.00000000
4935,1,0072,00,4000,10,410.00000000
4935,1,0072,00,4000,28,490.00000000
4935,1,0072,00,4000,39,150.00000000
4935,1,0072,00,4000,74,150.00000000
4935,1,0072,00,4000,77,1000.00000000
4935,1,0072,00,4000,98,300.00000000
4935,1,0072,00,4000,100,1000.00000000
4935,1,0072,00,4000,120,410.00000000
4935,1,0072,00,4000,155,150.00000000
4935,1,0072,00,4000,191,300.00000000
4935,1,0074,00,4000,7,330.00000000
4935,1,0074,00,4000,10,330.00000000
4935,1,0074,00,4000,13,330.00000000
4935,1,0074,00,4000,32,400.00000000
4935,1,0074,00,4000,42,330.00000000
4935,1,0074,00,4000,58,400.00000000
4935,1,0074,00,4000,90,410.00000000
4935,1,0074,00,4000,132,330.00000000
4935,1,0076,00,4000,11,700.00000000
4935,1,0076,00,4000,21,300.00000000
4935,1,0076,00,4000,50,300.00000000
4935,1,0076,00,4000,67,600.00000000
4935,1,0076,00,4000,93,390.00000000
4935,1,0076,00,4000,189,900.00000000
4935,1,0076,00,4000,243,7000.00000000
4935,1,0076,00,4000,250,540.00000000
4935,1,0076,00,4000,259,880.00000000
4935,1,0076,00,4000,264,150.00000000
4935,1,0076,00,4000,279,900.00000000
4935,1,0076,00,4000,284,1500.00000000
4935,1,0076,00,4000,290,1500.00000000
4935,1,0076,00,4000,291,750.00000000
4935,1,0076,00,4000,303,850.00000000
4935,1,0076,00,4000,371,790.00000000
4935,1,0076,00,4000,380,1200.00000000
4935,1,0076,00,4000,397,1300.00000000
4935,1,0076,00,4000,412,1000.00000000
4935,1,0076,00,4000,438,1200.00000000
4935,1,0076,00,4000,453,390.00000000
4935,1,0076,00,4000,456,390.00000000
4935,1,0076,00,4000,492,550.00000000
4935,1,0076,00,4000,553,550.00000000
4935,1,0076,01,2000,10,300.00000000
4935,1,0076,07,1000,9,300.00000000
4935,1,0076,07,1000,12,300.00000000
4935,1,0076,11,1000,7,300.00000000
4935,1,0076,11,1000,10,300.00000000
4935,1,0078,00,4000,95,550.00000000
4935,1,0078,00,4000,96,800.00000000
4935,1,0078,00,4000,137,1200.00000000
4935,1,0078,00,4000,167,750.00000000
4935,1,0078,00,4000,249,550.00000000
4935,1,0078,00,4000,281,720.00000000
4935,1,0078,00,4000,302,800.00000000
4935,1,0078,00,4000,328,1050.00000000
